PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.15853754,0.15532847,0.10850507,0.7137196,0.04226022,0.2371864,0.04131502,0.44572386,M9vlR4AIDnc
0.08134838,0.061908167,0.041454006,0.41491255,0.09178341,0.39315122,0.05613239,0.34861332,DrFkclD_kN8
0.08990297,0.05993663,0.10140663,0.55633867,0.03282858,0.27381715,0.06771983,0.28871349,uOHgcAqkmmo
0.11982089,0.099618204,0.21911143,0.31153435,0.12386879,0.5607238,0.094410956,0.12888862,sDg1l74Pk3Q
0.0774652,0.13981114,0.20670223,0.5393413,0.02962584,0.32320634,0.03839648,0.14738888,jN0mnyeov7g
0.13441204,0.1430059,0.12149941,0.7004724,0.052719146,0.3108416,0.04818217,0.07615376,skRQRYLxQMw
0.14663623,0.17228284,0.2582439,0.82345974,0.054983504,0.36994424,0.10763696,0.030123297,bNVkD49-o1g
0.08671247,0.05317802,0.03808995,0.48697177,0.037731577,0.25113618,0.04818217,0.5179574,96DtiTOp498
0.041288048,0.03413578,0.025340995,0.2796366,0.024969868,0.25096,0.1019289,0.18911736,RnoC7lpNBcY
0.14533003,0.16121162,0.14327602,0.25721887,0.15684542,0.29207838,0.1539292,0.34072593,GepEgtUQfsk
0.11623363,0.06788082,0.06144651,0.42919803,0.058673732,0.30912462,0.10828095,0.07831232,CXCYHt8shXU
0.10584477,0.073721066,0.06494462,0.09541994,0.10973289,0.29203033,0.013050216,0.13415852,edgz85xKcs0
0.10746674,0.13322826,0.19583917,0.7172943,0.03101143,0.3126437,0.12051678,0.14396335,H-TsgTfp3yk
0.04742138,0.02524948,0.0481216,0.25636363,0.07572074,0.27662712,0.034962907,0.31603852,wBDLRvjHVOY
0.024115423,0.02710586,0.043611653,0.099844255,0.023097688,0.2559384,0.00860759,0.01568038,oHrftNgaRYk
0.3576145,0.4952706,0.6350989,0.97076875,0.14823063,0.4647107,0.355017,0.26867855,JJUcVp3zKuI
0.16907643,0.18115714,0.2855039,0.85864943,0.043129742,0.3313032,0.08635602,0.16674447,z_NHL4Xxfig
0.06328315,0.048599735,0.061431333,0.15440758,0.070452005,0.28575304,0.050242316,0.09759359,jRHV5wZdj-I
0.052220974,0.060054228,0.13729899,0.25258088,0.05997461,0.3264931,0.03994159,0.19176316,ZdtEpv1Y7Ic
0.040603586,0.02992192,0.054303452,0.08006642,0.04590746,0.16118792,0.018881164,0.25420535,fP27hJhQ984
0.08010013,0.07676737,0.035408385,0.038922027,0.033381082,0.18934584,0.014299706,0.09717839,IL6-0mDZoGc
0.22576655,0.22795606,0.31259382,0.8594112,0.054608215,0.37131992,0.10699297,0.15298821,v2-0FPNDZQ8
0.12534808,0.110203974,0.12047478,0.6466368,0.058830954,0.2885897,0.027237365,0.5680319,Td7I79Nn62Y
0.055120405,0.07990521,0.075207084,0.40121254,0.059214156,0.34522575,0.09709594,0.16883904,5iUtFhlru0I
0.08313481,0.08476887,0.13974504,0.5046841,0.017154297,0.22046807,0.14866976,0.2616906,9KVGeUzlqfE
0.08481819,0.10222402,0.09111233,0.44071025,0.0287746,0.22766703,0.067320265,0.41040713,R79dN55TjN4
0.10192768,0.07312917,0.15596396,0.24774201,0.28127512,0.5189645,0.03204437,0.08886357,GVzjfk6oNfc
0.0976748,0.074411616,0.057283323,0.56339014,0.041992847,0.2872479,0.017770508,0.42038536,JDSwYDuEYwU
0.19594719,0.25469643,0.44210908,0.40882537,0.09163878,0.36460656,0.23452865,0.14496084,6pIag3T9fx0
0.124588124,0.13747519,0.21476756,0.27441615,0.14133193,0.45314825,0.07690986,0.04029431,gINYe3ZiT8Y
0.15043892,0.23027681,0.32028615,0.73590136,0.11413288,0.5153674,0.123736724,0.10070946,xOHG5-aqZUc
0.20288296,0.20494641,0.2060268,0.7462797,0.0668613,0.27023977,0.21804169,0.37800458,fjD0uFcHti0
0.06301992,0.06925415,0.1215017,0.06452744,0.043788392,0.18164003,0.051737156,0.09178894,pCKjEL_Nc6Y
0.097696684,0.08956733,0.08670604,0.5778165,0.025110641,0.3248571,0.032902762,0.23684292,IsVl1Gqudog
0.06087981,0.09592435,0.12808885,0.24466118,0.05945724,0.4982865,0.049898956,0.23258421,4K54Fikpkk8
