PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.11518471,0.48470673,0.14463188,0.17597388,0.3318557,0.1247917,0.5120674,0.30299127,cc2DWKX-sII
0.28132027,0.49534753,0.040971663,0.31642565,0.7299202,0.07347306,0.5241305,0.27340633,C8vgdmEoq1E
0.07193549,0.24573006,0.12244874,0.08746823,0.1518863,0.38078946,0.31091,0.22896822,SYbg0Y_nTFI
0.13141981,0.44815207,0.12760067,0.21221225,0.5450289,0.17278682,0.37597755,0.22031389,sVbnUo0elgg
0.12865022,0.37332988,0.080905534,0.24691075,0.3756792,0.070849575,0.3538294,0.27693978,F0vniVNGO6I
0.07191591,0.14565921,0.13521013,0.18724383,0.5592349,0.41008466,0.30145523,0.31007367,9ETG0SZKKgk
0.059577428,0.25010264,0.09279997,0.16778724,0.25723505,0.20686783,0.27367267,0.45741528,Fogm1rhk6fI
0.10492549,0.5112985,0.12695669,0.36443377,0.26721776,0.48234338,0.21203053,0.56299746,fvVX6-567jU
0.19220892,0.41813716,0.13206954,0.2055589,0.56144804,0.32823667,0.44603515,0.2970033,C8MFEeBNMk8
0.16602293,0.48668587,0.20742953,0.28065166,0.3653349,0.29932156,0.4658622,0.4534897,wSVjeeSXmoE
0.08782893,0.2949126,0.13565879,0.17866765,0.17426497,0.2525099,0.27267557,0.30646852,qUcMQcwDx5M
0.16279352,0.35226226,0.13700475,0.26759914,0.11593387,0.3423,0.28762865,0.36950633,3tYIk1IwYUI
0.2556484,0.42867798,0.31650472,0.32680646,0.39511055,0.31958854,0.38957268,0.45080772,hjPV3FVIQPk
0.95022625,0.394919,0.37083253,0.75114,0.33214933,0.44532144,0.512158,0.3396663,VzX2OSn368U
0.13226873,0.13087374,0.18746567,0.15756634,0.06881817,0.17874865,0.19112961,0.17194022,-VYG7Ia6944
0.1791973,0.24252427,0.24418297,0.3099277,0.18800692,0.38713914,0.25668445,0.36500773,NpDr0ClRqBs
0.13517927,0.3846406,0.15451296,0.17699654,0.4011185,0.08074721,0.3854941,0.30403507,55l5H9LITiQ
0.1258642,0.41016865,0.15334547,0.23965058,0.5729842,0.16940777,0.30273992,0.2610385,tQ8vS6MrMWs
0.073412575,0.30011317,0.039254878,0.14222996,0.0974277,0.13632892,0.18612415,0.27888042,PdbkI8Gtk_w
0.17587966,0.35572526,0.1621016,0.22137627,0.60727364,0.2720081,0.43504497,0.25515518,xUUI3Pn5uGo
0.04750987,0.18245888,0.06771983,0.08935247,0.19290164,0.078485265,0.2800587,0.11165004,eT8Zll_sE6g
